product,brand,manufacturer,vendor,pack_size_raw,class,latest_price_per_case_usd,case_price_delta_pct,price_per_lb_delta_pct,total_spend_usd,est_units_per_case,est_unit_size,est_uom,est_case_weight_lb,est_dimension,est_price_per_lb_usd,flags
CHEESE CHED SHARP WHI BLOCK TF,LOL,LAND O LAKES INC,PFG,1/10 LB,CHEESE,35.46,+1.4%,+1.4%,307.78,1,10,LB,10.0,weight,3.546,
TOMATO CRUSHED EXTRA HVY PUREE,SAPORITO,STANISLAUS FOOD PRODUCTS,PFG,6/#10 CN,VEGETABLES CANNED/DRY,36.48,,,282.34,6,10,CN,,count,,
BAG PAPER SHOPPER REGAL,FRST MRK,DURO HILEX POLY LLC,PFG,200/1 EA,BAGS/WRAPS/FILTERS,70.22,,,275.68,200,1,EA,,count,,
"Glove, Latex Large Powder-Free Natural Imported Thailand Ambidextrous",Monogram,Monogram,US Foods,10/100 EA,Disposables (24),101.6,+15.0%,+14.9%,275.21,10,100,EA,,count,,
SALT KSHR COARSE,DMND CRY,CARGILL SALT,PFG,9/3 LB,SPICE/EXTRACT/FOOD COLOR,62.83,,,251.32,9,3,LB,27.0,weight,2.327,
SWEET PEPPERS,,,Delmar Provisions,,,10.25,,,246.0,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
Compliments Branded Water,,,Delmar Provisions,,,12.95,,,233.1,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
CHEESE PARMESAN GRATED TUB,ROMA,IPAP CAPUTO CHEESE,PFG,4/5 LB,CHEESE,76.03,,,228.09,4,5,LB,20.0,weight,3.8015,
5 GALLON GARLIC PICKLES,,,Delmar Provisions,,,35.95,,,215.7,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
CHIVES FRSH,PEAK FRS,RUBY CO EUREKA,PFG,1/8 OZ,HERBS FRESH,17.88,,,214.56,1,8,OZ,0.5,weight,35.76,HIGH_PPL_REVIEW
"Ham, Cooked Rectangle 4x6 Hwp 39% Ref 1-Diamond Pork",Patuxent Farms,Patuxent Farms,US Foods,2/13 LB,Pork (30),71.04,+1.1%,+1.1%,212.92,2,13,LB,26.0,weight,2.7323,
GLOVE LATEX XL PWDR FREE,SLVR SRC,HANDGARDS LLC,PFG,10/100 CT,DISPOSABLE SUPPLIES,68.35,,,205.05,10,100,CT,,count,,
WATER SPRKLNG SPRING GLASS,SARATOGA,BLUETRITON BRAND INC,PFG,24/12 OZ,BEVERAGE PACKAGED DRY,24.86,,,198.88,24,12,OZ,18.0,weight,1.3811,
ROLL REGISTER 3.13X200 THERMAL,FRST MRK,NATIONAL CHECKING COMPANY,PFG,1/50 EA,DISPOSABLE SUPPLIES,96.91,,,193.82,1,50,EA,,count,,
BASIL FRSH,FRSH ADV,THE CLASS PRODUCE GROUP,PFG,1/1 LB,HERBS FRESH,10.34,,,186.12,1,1,LB,1.0,weight,10.34,
CREAM HVY WHIPPING 40% TFF,NTRSBST,SAPUTO DAIRY FOODS USA,PFG,12/32 OZ,MILKS/CREAMS/YOGURT,46.32,-0.1%,-0.1%,185.76,12,32,OZ,24.0,weight,1.93,
"Bowl, Pla Plastic 24 Oz Clear W/ Lid Combo Salad",Eco-Products,Eco Products,US Foods,150 EA,Disposables (24),91.19,,,182.38,1,150,EA,,count,,
